id,Studyid,Study,e,tstat,Published,Pubyear,Australia,Canada,France,Germany,Japan,Sweden,usa,Developing,Start,End,Datayear,Timespan,Observations,Cross_section,Timeseries,Quarterly,Monthly,Carstock,Static,ols,iv,sur,ml,ecm,gls
3,3,A&D86,1.646,20.5304,1,1986,0,0,0,0,0,0,0,1,1965,1980,1972.5,16,16,0,1,0,0,0,1,1,0,0,0,0,0
14,6,A&G80=81b,0.2854,5.585127201565557,1,1980,0,0,0,0,0,0,1,0,1972,1973,1972.5,2,8,0,0,1,0,1,1,1,0,0,0,0,0
15,6,A&G80=81b,0.5612,8.673879443585783,1,1980,0,0,0,0,0,0,1,0,1972,1973,1972.5,2,8,0,0,1,0,1,1,1,0,0,0,0,0
16,7,A&G81a,0.294,5.764705882352941,1,1981,0,0,0,0,0,0,1,0,1974,1974,1974.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
17,7,A&G81a,0.555,8.671875,1,1981,0,0,0,0,0,0,1,0,1974,1974,1974.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
19,9,Abd88,1.423,10.537,1,1988,0,0,0,0,0,0,0,1,1960,1981,1970.5,22,22,0,1,0,0,0,1,1,0,0,0,0,0
21,9,Abd88,1.288,7.516,1,1988,0,0,0,0,0,0,0,1,1960,1981,1970.5,22,22,0,1,0,0,0,1,1,0,0,0,0,0
27,13,AGG74,-0.37,-2.33,0,1974,0,0,0,0,0,0,0,0,1969,1969,1969.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
28,13,AGG74,-0.56,-3.28,0,1974,0,0,0,0,0,0,0,0,1969,1969,1969.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
29,13,AGG74,0.54,3.75,0,1974,0,0,0,0,0,0,0,0,1969,1969,1969.0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
30,13,AGG74,0.52,3.53,0,1974,0,0,0,0,0,0,0,0,1969,1969,1969.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
31,13,AGG74,0.49,3.26,0,1974,0,0,0,0,0,0,0,0,1969,1969,1969.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
110,22,And79qD&S90b,0.53,7.35,0,1979,0,0,0,0,0,1,0,0,1972,1976,1974.0,5,60,0,1,0,1,0,1,1,0,0,0,0,0
