e_w,Forward,Horizontal,Lagged,Quadratic,Differences,No_of_firms,Data_year,Year_FE,Sector_FE,Competition,Fully_owned,Joint_ventures,Services,Assets,Output,POLS,Random,GMM,Real_linkages,Impact_factor,Citations,Pub_year
0.010344000000000131,0,1,0,1,0,9.334767950351235,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
1.275,0,0,0,1,0,9.334767950351235,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
0.9687240000000001,1,0,0,1,0,9.334767950351235,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
-0.07545599999999997,0,1,0,1,0,9.340139809511028,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
1.275,0,0,0,1,0,9.340139809511028,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
0.6682160000000004,1,0,0,1,0,9.340139809511028,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
-0.2890439999999999,0,1,0,1,0,9.385133662349347,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
0.8345920000000002,0,0,0,1,0,9.385133662349347,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
0.9799280000000001,1,0,0,1,0,9.385133662349347,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
-0.21921999999999991,0,1,0,1,0,9.379914355947635,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
0.875162,0,0,0,1,0,9.379914355947635,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.01,1.3333333333333333,5
1.1713600000000002,1,0,0,1,0,9.379914355947635,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0.038,1.5714285714285714,7
0.479,0,0,0,0,0,6.568077911411976,3.5,1,1,0,0,0,0,0,1,1,0,0,1,0.038,1.5714285714285714,7
-0.058,1,0,0,0,0,6.568077911411976,3.5,1,1,0,0,0,0,0,1,1,0,0,1,0.038,1.5714285714285714,7
0.772,0,0,0,0,0,6.102558594613569,3.5,1,1,0,0,0,0,0,1,1,0,0,1,0.038,1.5714285714285714,7
