"row","idstudy","translog"
1,135,0
2,135,0
3,135,0
4,135,0
5,135,0
6,135,0
7,135,0
8,135,0
9,135,0
10,135,0
11,135,0
12,135,0
13,135,0
14,135,0
15,135,0
16,135,0
17,135,0
18,135,0
19,135,0
20,135,0
21,135,0
22,135,0
23,135,0
24,135,0
25,135,0
26,135,0
27,135,0
28,135,0
29,135,0
30,135,0
31,135,0
32,135,0
33,135,0
34,135,0
35,135,0
36,135,0
37,135,0
38,135,0
39,135,0
40,134,0
41,134,0
42,134,0
43,134,0
44,134,0
45,134,0
46,134,0
47,134,0
48,134,0
49,134,0
50,134,0
51,134,0
52,134,0
53,134,0
54,134,0
55,134,0
56,134,0
57,134,0
58,134,0
59,134,0
60,134,0
61,134,0
62,134,0
63,134,0
64,134,0
65,134,0
66,134,0
67,134,0
68,134,0
69,134,0
70,134,0
71,134,0
72,134,0
73,134,0
74,134,0
75,134,0
76,134,0
77,134,0
78,134,0
79,134,0
80,134,0
81,134,0
82,134,0
83,134,0
84,134,0
85,134,0
86,134,0
87,134,0
88,134,0
89,134,0
90,134,0
91,134,0
92,134,0
93,134,0
94,134,0
95,134,0
96,134,0
97,134,0
98,134,0
99,134,0
100,134,0
101,134,0
102,134,0
103,134,0
104,134,0
105,134,0
106,134,0
107,134,0
108,134,0
109,134,0
110,134,0
111,134,0
112,134,0
113,134,0
114,134,0
115,134,0
116,134,0
117,134,0
118,134,0
119,134,0
120,134,0
121,134,0
122,134,0
123,134,0
124,134,0
125,134,0
126,134,0
127,134,0
128,134,0
129,134,0
130,134,0
131,134,0
132,134,0
133,134,0
134,134,0
135,134,0
136,134,0
137,134,0
138,134,0
139,134,0
140,134,0
141,134,0
142,134,0
143,134,0
144,134,0
145,134,0
146,134,0
147,134,0
148,134,0
149,134,0
150,134,0
151,134,0
152,134,0
153,134,0
154,134,0
155,134,0
156,134,0
157,134,0
158,134,0
159,134,0
160,134,0
161,134,0
162,134,0
163,134,0
164,134,0
165,134,0
166,134,0
167,134,0
168,134,0
169,134,0
170,134,0
171,134,0
172,134,0
173,134,0
174,134,0
175,134,0
176,134,0
177,134,0
178,134,0
179,134,0
180,134,0
181,134,0
182,134,0
183,134,0
184,134,0
185,134,0
186,134,0
187,134,0
188,134,0
189,134,0
190,134,0
191,134,0
192,134,0
193,134,0
194,134,0
195,134,0
196,134,0
197,134,0
198,134,0
199,134,0
200,134,0
201,134,0
202,134,0
203,134,0
204,134,0
205,134,0
206,134,0
207,134,0
208,134,0
209,134,0
210,134,0
211,134,0
212,134,0
213,134,0
214,134,0
215,134,0
216,134,0
217,134,0
218,134,0
219,134,0
220,134,0
221,134,0
222,134,0
223,134,0
224,134,0
225,134,0
226,134,0
227,134,0
228,134,0
229,134,0
230,134,0
231,134,0
232,134,0
233,134,0
234,134,0
235,134,0
236,134,0
237,134,0
238,134,0
239,134,0
240,134,0
241,134,0
242,134,0
243,134,0
244,134,0
245,134,0
246,134,0
247,134,0
248,134,0
249,134,0
250,134,0
251,134,0
252,134,0
253,134,0
254,134,0
255,134,0
256,134,0
257,134,0
258,134,0
259,134,0
260,134,0
261,134,0
262,134,0
263,134,0
264,134,0
265,134,0
266,134,0
267,134,0
268,134,0
269,134,0
270,134,0
271,134,0
272,134,0
273,134,0
274,134,0
275,134,0
276,134,0
277,134,0
278,134,0
279,134,0
280,134,0
281,134,0
282,134,0
283,134,0
284,134,0
285,134,0
286,134,0
287,134,0
288,134,0
289,134,0
290,134,0
291,134,0
292,134,0
293,134,0
294,134,0
295,134,0
296,134,0
297,134,0
298,134,0
299,134,0
300,134,0
301,134,0
302,134,0
303,134,0
304,134,0
305,134,0
306,134,0
307,134,0
308,134,0
309,134,0
310,134,0
311,134,0
312,134,0
313,134,0
314,134,0
315,134,0
316,134,0
317,134,0
318,134,0
319,134,0
320,134,0
321,134,0
322,134,0
323,134,0
324,134,0
325,134,0
326,134,0
327,134,0
328,134,0
329,134,0
330,132,1
331,132,1
332,132,1
333,132,1
334,132,1
335,132,1
336,132,1
337,132,1
338,132,1
339,132,1
340,132,1
341,132,1
342,132,1
343,130,0
344,130,0
345,129,0
346,129,0
347,129,0
348,129,0
349,129,0
350,129,0
351,129,0
352,129,0
353,129,0
354,129,0
355,129,0
356,129,0
357,129,0
358,129,0
359,129,0
360,129,0
361,129,0
362,129,0
363,129,0
364,128,0
365,128,0
366,128,0
367,128,0
368,128,0
369,128,0
370,128,0
371,128,0
372,128,0
373,128,0
374,125,0
375,125,0
376,125,0
377,125,0
378,125,0
379,125,0
380,125,0
381,125,0
382,125,0
383,124,0
384,124,0
385,124,0
386,124,0
387,124,0
388,124,0
389,124,0
390,124,0
391,124,0
392,124,0
393,124,0
394,124,0
395,124,0
396,124,0
397,124,0
398,124,0
399,124,0
400,124,0
401,124,0
402,123,0
403,123,0
404,123,0
405,123,0
406,123,0
407,123,0
408,123,0
409,123,0
410,123,0
411,123,0
412,123,0
413,123,0
414,123,0
415,123,0
416,123,0
417,123,0
418,123,0
419,123,0
420,123,0
421,123,0
422,123,0
423,123,0
424,123,0
425,123,0
426,123,0
427,123,0
428,123,0
429,123,0
430,123,0
431,123,0
432,123,0
433,123,0
434,123,0
435,123,0
436,123,0
437,123,0
438,123,0
439,123,0
440,123,0
441,123,0
442,123,0
443,123,0
444,123,0
445,123,0
446,123,0
447,123,0
448,123,0
449,123,0
450,123,0
451,123,0
452,123,0
453,123,0
454,123,0
455,123,0
456,123,0
457,123,0
458,123,0
459,123,0
460,123,0
461,123,0
462,123,0
463,123,0
464,123,0
465,123,0
466,123,0
467,123,0
468,123,0
469,123,0
470,123,0
471,123,0
472,123,0
473,123,0
474,123,0
475,123,0
476,123,0
477,123,0
478,123,0
479,123,0
480,123,0
481,123,0
482,123,0
483,123,0
484,123,0
485,123,0
486,123,0
487,123,0
488,123,0
489,123,0
490,123,0
491,123,0
492,123,0
493,123,0
494,123,0
495,123,0
496,123,0
497,123,0
498,123,0
499,123,0
500,123,0
501,123,0
502,123,0
503,123,0
504,123,0
505,123,0
506,123,0
507,123,0
508,123,0
509,123,0
510,123,0
511,123,0
512,123,0
513,123,0
514,123,0
515,123,0
516,123,0
517,123,0
518,123,0
519,123,0
520,123,0
521,123,0
522,123,0
523,123,0
524,123,0
525,123,0
526,123,0
527,123,0
